file,review_pmid,outcome,row_count,column_count,cell_count,nonempty_cell_count,empty_cell_count,schema_fingerprint,sha256,verified_exact_cells,corrected_cells,not_visible_cells,source_unavailable_cells,not_applicable_cells
39952828.csv,39952828,,13,8,104,104,0,b5d2d493d858b7a0fcf5140bb3f3915990c833c93c9417f96a7d4d2636dddd92,2d62ee084614130804f7dc4bf9ccb742d162e75462844f9768bccd1754dd2261,26,0,78,0,0
40325863.csv,40325863,,8,7,56,56,0,a73e0ca30a5e3b8784bf7b5fec8e01c18e7c95f57b94a6964d7554235a465cd5,b677b41437f46196da0d2acef92398ed71120ad6bf82d077068107bba4ad5e91,8,0,48,0,0
41065407_Disability.csv,41065407,Disability,13,5,65,65,0,0abc22dbdcb53a299db0aa13b0962ec0992afc92d656c6edef6ab22e813d20b9,db469de9821266ab934a0bc830236751ce88e4f0890458d9caf8f30d2b02ce03,0,0,65,0,0
41065407_PainIntensity.csv,41065407,PainIntensity,10,5,50,50,0,0abc22dbdcb53a299db0aa13b0962ec0992afc92d656c6edef6ab22e813d20b9,4aab82b472bd03a940584ccc13f2a5253fd70db7dddac464f7ebd37fc6583077,0,0,50,0,0
41065407_QoL.csv,41065407,QoL,6,5,30,30,0,0abc22dbdcb53a299db0aa13b0962ec0992afc92d656c6edef6ab22e813d20b9,76eb847d8364598c07c3af4120efbbae7e88729abaecc2b48efa49b65a81b003,0,0,30,0,0
41388744_DBP.csv,41388744,DBP,16,5,80,80,0,1c74ed534749592d12eb45be92be41bd48b81dd918cfc1ab2b0388fcf227c91a,302e00fdc7b7330368607b78c9ea6884601b71edd136d496952ceb71170732a1,0,0,80,0,0
41388744_SBP.csv,41388744,SBP,16,10,160,160,0,a75f651406c8fd23cdb78fe68da77f9767a1967e3904e92cc924cdf303abf3cb,6f6876b562957fdeea8bbbff171131bcdb3e71f2b65632d15350e61ad3dd2163,80,0,80,0,0
41507873_Alzheimer.csv,41507873,Alzheimer,3,5,15,15,0,63e3bcfb75af4dbf296c6582f342eed991ee5521f53b53a0b4e314bf5859bac8,13d8834f7fc08c556f82195b6d514a03dd3225a00bfbfa52b5928235c09e99df,0,0,15,0,0
41507873_Depression.csv,41507873,Depression,3,6,18,18,0,7053e5e57c0ee9fb795aafc445e8bcedf40bef55838999857bf01bf6e0a676e2,8f48ec7b8d4acc7ce2828009a0dd99dcc2d9282543cd3fa19e29a64bcca5f6a5,3,0,15,0,0
41561801_Adiponectin.csv,41561801,Adiponectin,4,5,20,20,0,fc242dce29cbf61d61a087bb5b7ecf908cc8e45dc4b66fa3e44ee8123e885a17,4f256ec48532e8973c25e0ec1709b9b08eff4e4a57714324d06949f2bc308a9d,0,0,20,0,0
41561801_BMI.csv,41561801,BMI,11,5,55,55,0,fc242dce29cbf61d61a087bb5b7ecf908cc8e45dc4b66fa3e44ee8123e885a17,53a0a645977f65729f0fab670c749c52bdb9dbd5309183ccb2ae568c2c5fee60,0,0,55,0,0
41561801_CRP.csv,41561801,CRP,12,5,60,60,0,fc242dce29cbf61d61a087bb5b7ecf908cc8e45dc4b66fa3e44ee8123e885a17,3c8a85c0557a35debfb88036d69f9051d30cd3f8d9b56190b9d3a7fc0439c6a2,0,0,60,0,0
41561801_IL-6.csv,41561801,IL-6,9,5,45,45,0,fc242dce29cbf61d61a087bb5b7ecf908cc8e45dc4b66fa3e44ee8123e885a17,b6372f18cb07fcc95f5ae4d424c9696b272322f3b644e4c736c6578a529b5304,0,0,45,0,0
